prompt,model_answer,predict_proba
От какого слова происходит русское название растения «очанка»?,"Русское название растения «очанка» происходит от слова «очи», что в переводе с русского языка означает «глаза». Это связано с тем, что очанка традиционно используется для лечения глазных заболеваний и улучшения зрения.",0.6121163346033797
"Какой архитектурный стиль в Париже, появившийся во второй половине XVII века в сооружении Лувра, почти целое столетие сосуществовал с архитектурой барокко?","В Париже во второй половине XVII века появился архитектурный стиль, который почти целое столетие сосуществовал с архитектурой барокко. Этот стиль называется классицизм. Он характеризуется строгими формами, симметрией и использованием классических элементов архитектуры, таких как колонны и фронтоны.",0.7457539889571632
"В каком году император Николай II подтвердил указ Александра II о государственных цветах России: чёрном, жёлтом и белом?",Император Николай II подтвердил указ Александра II о государственных цветах России в 1896 году.,0.5253216813378808
"Какой роман Стивена Кинга Стэнли Кубрик выбрал для экранизации после того, как швырял другие книги в стену?","После того, как Стивен Кинг швырнул книгу «Сияние» в стену, Стэнли Кубрик решил выбрать её для экранизации.",0.9297584802579806
"Какой лозунг провозгласил император Педру I 7 сентября 1822 года, объявляя о разрыве уз с Португалией и клянясь обеспечить независимость Бразилии?","Лозунг, который провозгласил император Педру I 7 сентября 1822 года, был «Independência ou Morte!» («Независимость или смерть!»)",0.0683390088676688
"В каком году Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия, подтвердив гипотезу Артура Эддингтона о «каппа-механизме»?","Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия в 1952 году, что подтвердило гипотезу Артура Эддингтона о «каппа-механизме».",0.0133411115358338
"Кто был главным конструктором ОКБ-586, выступившим в 1956 году с инициативой создания МБР на высококипящих компонентах топлива?","Главным конструктором ОКБ-586, который выступил в 1956 году с инициативой создания межконтинентальной баллистической ракеты (МБР) на высококипящих компонентах топлива, был Михаил Кузьмич Янгель.",0.0135752380407633
Кто убедила царя Пирра напасть на Спарту в 272 году?,"В 272 году до н. э. царь Пирр, который уже воевал с Римом и был известен своими победами, решил вторгнуться в Спарту. Однако его решение было не самостоятельным, а скорее результатом давления со стороны других греческих городов и политических деятелей того времени.

Пирр был приглашен в Грецию по просьбе некоторых городов, которые надеялись получить его помощь против Македонии под управлением Антигонидов. Эти города, включая Аркадию и Элиду, были обеспокоены растущей мощью Македонии и искали союзников для защиты своих интересов.

Однако наиболее важным фактором, повлиявшим на решение Пирра, была поддержка от Клеонима, одного из лидеров спартанцев. Клеоним стремился укрепить свою власть внутри Спарты и видел в Пирре потенциального союзника, способного помочь ему в достижении этой цели. Он убедил Пирра, что нападение на Спарту будет выгодным шагом, так как оно позволит ему завоевать уважение и поддержку среди других греческих государств.

Таким образом, хотя Пирр сам принял решение о нападении на Спарту, он был убежден в необходимости этого действия благодаря влиянию Клеонима и других политических деятелей, которые видели в этом шаге возможность укрепить свои позиции в регионе.",0.9093467330146976
В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с кем?,В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с Жаном Лорреном.,0.6899248854017708
Сколько афинян погибло в битве при Марафоне согласно Геродоту?,"Согласно Геродоту, в битве при Марафоне погибло 192 афинянина и 59 платейцев.",0.0036119687751157
"Кто вёл войско бактрийцев, согдиан и индов на левом южном фланге персидской армии в битве при Гавгамелах 1 октября 331 года?","В битве при Гавгамелах 1 октября 331 года войско бактрийцев, согдиан и индов на левом южном фланге персидской армии возглавлял сатрап Бактрии Бесс.",0.0366908434635269
"Какой генерал-майор в марте 2020 года заявил, что на восстановление репутации Полка после доказанных военных преступлений потребуется не менее десяти лет?","В марте 2020 года генерал-майор Сергей Качковский заявил, что на восстановление репутации полка «Азов» после доказанных военных преступлений потребуется не менее десяти лет.",0.9993499027453202
Кого Маргарет Смит обыграла в четвертьфинале чемпионата Австралии среди взрослых в 1960 году?,В четвертьфинале чемпионата Австралии среди взрослых в 1960 году Маргарет Смит обыграла **Мэри Фишер**.,0.954230598360708
В каком году в Японии на платформе PlayStation Portable была выпущена ролевая игра Fate/Extra?,Ролевая игра Fate/Extra для платформы PlayStation Portable была выпущена в 2010 году.,0.000487706751209
Какой гербарий включал не менее 25 семейств эндемиков Нового Южного Уэльса в ходе Первой русской антарктической экспедиции?,"В ходе Первой русской антарктической экспедиции на судне «Винди» был собран гербарий, который включал не менее 25 семейств эндемиков Нового Южного Уэльса.",0.7005705911927878
"Как назывался суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года?","Суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года, назывался **«судом тень»** или **«судом мумии»**.",0.9517784273827332
"Какой режиссёрский фильм 1947 года стал первым в череде работ Жана-Пьера Мельвиля, основанных на литературном материале?","Фильм «Молчание моря» («Le Silence de la mer») режиссёра Жана-Пьера Мельвиля был выпущен в 1947 году и стал первым в его карьере, основанным на литературном материале. Этот фильм является экранизацией одноимённого романа Жака Превера.",0.932185221800752
"Какую основную причину совершения убийств в Мюнхене в 2016 году назвали в докладе Министерства Внутренних дел Баварии, опубликованном в апреле 2017 года?","В докладе Министерства внутренних дел Баварии, опубликованном в апреле 2017 года, основной причиной убийств в Мюнхене в 2016 году была названа личная месть.",0.0298148823283743
"Какой энциклике, посвящённой экуменическому диалогу, впервые в истории папства выпустил Иоанн Павел II в 1995 году?",Энциклика «Ut unum sint» («Да будем едиными») была выпущена Иоанном Павлом II в 1995 году и посвящена экуменическому диалогу.,0.0024839391439749
"В каком году Томас, 8-й барон де Клиффорд, начал строительство в замке Скиптон?","Томас, 8-й барон де Клиффорд, начал строительство замка Скиптон примерно в **1309 году**.",0.0241505541685558
"Кто после разгрома Мунузы решил расправиться с Эдом Аквитанским и возглавил армию, осадившую Бордо?","После разгрома Мунузы в 732 году армией франков под предводительством Карла Мартелла, который стал известен как Карл Великий, новый лидер арабского войска, по имени Абд аль-Рахман, решил отомстить за поражение и начать новую кампанию против христианских земель. Он собрал большую армию и двинулся на юг, чтобы атаковать город Бордо, столицу Аквитании. Однако его планы были нарушены, когда он был убит во время битвы при Пуатье в 732 году. После этого сражения франки смогли остановить продвижение арабов и защитить свои земли.",0.9975821507858752
Какое решение приняло руководство Daimler в ноябре 2011 года относительно бренда Maybach?,В ноябре 2011 года руководство Daimler приняло решение прекратить производство и продажу автомобилей под брендом Maybach. Это было связано с низким спросом на автомобили этого класса и необходимостью сосредоточиться на более популярных моделях Mercedes-Benz.,0.0330776040173353
"В 2003 году группа религиозных деятелей, протестуя против проекта Сэмангым, совершила марш от Сэмангыма в какой город?","Группа религиозных деятелей, протестовавших против проекта Сэмангым, совершила марш от Сэмангыма в город Сеул.",0.9251926583037436
"Кто, по утверждению турецкого историка А. Оджак, организовал инцидент Бучуктепе в марте 1446 года с целью свергнуть Мехмеда II?","По утверждению турецкого историка А. Оджака, организатором инцидента Бучуктепе в марте 1446 года с целью свержения Мехмеда II был его отец, султан Мурад II.",0.6095597344839725
Сколько мест в Московской городской думе получили кандидаты от КПРФ на выборах 2019 года?,На выборах в Московскую городскую думу в 2019 году кандидаты от КПРФ не смогли получить ни одного места.,0.0111684055946722
В каком году президент Билл Клинтон наградил Розу Паркс Президентской медалью Свободы?,Президент Билл Клинтон наградил Розу Паркс Президентской медалью свободы в 1996 году.,0.0028147998032863
"Кто сыграл роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов», поставленном для канала НТВ в 2020 году?",Роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов» на канале НТВ в 2020 году исполнил актёр **Сергей Шакуров**.,0.8233206194128497
Какой город стал столицей Урарту со времени правления царя Ишпуини?,Столицей Урарту со времени правления царя Ишпуини стал город Тушпа.,0.0180082938165965
В каком году для консолей Master System и Game Gear была выпущена видеоигра Sonic the Hedgehog Chaos?,"Видеоигра ""Sonic the Hedgehog Chaos"" для консолей Sega Master System и Sega Game Gear была выпущена в 1993 году.",0.003455310086983
"Сколько подводных лодок проекта 941 «Акула» было построено в итоге из-за договора ОСВ-1 и финансовых проблем, несмотря на первоначальный план построить 10 единиц?",Из-за договора ОСВ-1 и финансовых проблем всего было построено 6 подводных лодок проекта 941 «Акула».,0.3100411264521512
В каком году после смерти Сталина стала возможной проверка и критика фактических данных О. Б. Лепешинской?,"После смерти И. В. Сталина в 1953 году началась десталинизация советского общества, что привело к ослаблению идеологического контроля над наукой и возможностью для более объективной оценки научных достижений. Ольга Борисовна Лепешинская была известным советским биологом, которая утверждала, что она наблюдала процесс превращения неспециализированных клеток в специализированные клетки, известный как ""теория клеточной пластичности"". Однако её утверждения были подвергнуты критике со стороны других учёных, которые считали их необоснованными и противоречащими современным научным знаниям о клетке. После смерти Сталина и начала процесса десталинизации, критики Лепешинской получили больше свободы и возможности высказывать свои мнения без страха репрессий.",0.9372380559224396
В каком возрасте был расстрелян Роман Ефимович Петров?,"Роман Ефимович Петров родился 15 октября 1903 года в селе Ивановка Полтавской губернии Российской империи. Он был известным советским военным летчиком, участником Великой Отечественной войны и дважды Героем Советского Союза. 

Петров погиб во время воздушного боя с немецкими истребителями 27 июля 1943 года над Курской битвой. Ему было всего 39 лет.",0.9968856287307712
Сколько миллионов долларов пожертвовала семья Краун на строительство и проектирование Фонтана Крауна?,Семья Краун пожертвовала 10 миллионов долларов на строительство и проектирование Фонтанов Крауна в Лос-Анджелесе.,0.2727599186939269
Кто был матерью Стефана Драгутина?,Мать короля Сербии Стефана Драгутина была **Елена Анжуйская** (серб. Елена Анжујска). Она была дочерью Карла II Анжуйского и Марии Монферратской.,0.037735666508402
Как называлась улица Плебанская или Плебанских мельниц после её переименования в 1866 году?,Улица Плебанская или Плебанских мельниц была переименована в улицу Лоскутова в 1866 году.,0.992997966670836
"Кто принял на себя всю вину за неудачу в сражении, из-за которой президент осудил его за недостаточную бдительность, а генерал Ли сказал: «Хорошо, хорошо, генерал, похороните этих бедных парней и больше не будем об этом»?","В данном вопросе речь идет о генерале армии Конфедерации Джеймсе Лонгстрит, который был одним из самых способных командиров армии Северной Вирджинии под командованием генерала Роберта Э. Ли во время Гражданской войны в США. В битве при Геттисберге, которая произошла 1-3 июля 1863 года, армия Конфедерации потерпела поражение от армии Союза. После битвы генерал Ли выразил свое недовольство действиями Лонгстрита, обвинив его в недостаточной бдительности и плохой координации с другими командирами. Однако, несмотря на это, Лонгстрит продолжал служить в армии Конфедерации до ее капитуляции в апреле 1865 года.",0.9555844920374184
"В каком году, согласно османским хроникам, упомянутым И. Узунчаршилы, произошло окончательное завоевание бейлика Карасы?",Окончательное завоевание бейлика Карасы османами произошло в 1390 году.,0.6389211950406003
"Кому в мае 1954 года Хаггерти предложил идею производства транзисторных приёмников после отказа со стороны RCA, Philco и Emerson?",В мае 1954 года Хаггерти предложил идею производства транзисторных приёмников компании Texas Instruments (TI).,0.2369273291657994
Кто стал навабом Бенгалии после смерти Аливарди-хана в апреле 1756 года?,После смерти Аливарди-хана в апреле 1756 года на престол взошел его сын Сикандар-шах.,0.3283360298178805
В каком году был ликвидирован Северный кружок любителей изящных искусств?,Северный кружок любителей изящных искусств был ликвидирован в 1860 году.,0.3999799777513506
Кем по отношению к фракийскому царю Керсоблепту стал Харидем?,Харидем стал стратегом Фракии и ближайшим советником царя Керсоблепта.,0.9344761919983562
Какое государство в 1808 году отобрало у Швеции Финляндию по итогам Тильзитского мира и Эрфуртского конгресса?,В 1808 году Россия отобрала у Швеции Финляндию по итогам Тильзитского мира и Эрфуртского конгресса.,0.015268853614852
"В какой список игр был включён Overlord (игра, 2007) журналом Eurogamer в декабре 2007 года?","Журналом Eurogamer в декабре 2007 года была включена игра ""Overlord"" в список лучших игр года.",0.1477326202271851
"Какое произведение Франсиско Гойи стало сюжетом для испанских почтовых марок 1920—1930-х годов, ставших манифестацией «махизма»?","Франсиско Гойя создал множество произведений, которые стали символами испанского искусства и культуры. Однако, если говорить о произведениях, которые были использованы в качестве сюжета для испанских почтовых марок в период с 1920 по 1930-е годы, то одним из наиболее известных является картина ""Маха обнажённая"" (La maja desnuda). Эта работа была создана художником около 1800 года и стала символом испанской живописи эпохи романтизма. В 1920-х годах она была выбрана как один из символов возрождения национального самосознания после периода диктатуры генерала Примо де Риверы. На марках изображалась именно эта картина, что подчёркивало важность культурного наследия Испании и её стремление к восстановлению своей идентичности на международной арене.",0.0474506241269657
"Кому принадлежат текст и аранжировки композиции «Где-то между», выпущенной Вадимом Самойловым в 2017 году?","Композиция «Где-то между» была выпущена Вадимом Самойловым в 2017 году. Текст песни написал сам Вадим Самойлов, а музыку к ней также создал он. Таким образом, авторство текста и музыки принадлежит самому Вадиму Самойлову.",0.5525191817960168
"Кто возглавлял делегацию Александрийской церкви, прибывшую в Эфес в начале июня 431 года для участия в Третьем Вселенском соборе?","Делегацию Александрийской церкви на Третьем Вселенском соборе в Эфесе возглавил **Феофил**, архиепископ Александрийский.",0.3873509613971471
"Кем был осуждён на смертную казнь Пифон, телохранитель Александра Македонского и регент Македонской империи?","Пифон был телохранителем Александра Македонского и регентом Македонской империи после его смерти. После смерти Александра в 323 году до н.э., Пифон стал одним из ключевых фигур в управлении империей. Однако вскоре он был обвинён в заговоре против регента Пердикки и казнён.",0.0353299063596809
"Как называлась книга 1623 года, в которой впервые были изданы 36 пьес Уильяма Шекспира?","Книга, о которой идет речь, называется **«Первое фолио»** или **«Мемориальное издание пьес Уильяма Шекспира»**. Она была опубликована в 1623 году и содержала 36 пьес Шекспира, включая многие из его самых известных произведений.",0.0046717471772267
"Как называлась организация для нелегальной иммиграции, созданная сионистами в 1937 году?","Организация для нелегальной иммиграции, созданная сионистами в 1937 году, называлась ""Моссад ле-Алия Бет"" (Mossad Le-Aliyah Bet).",0.0113169829880967
Кем был установлен бюст у входа в Чапаевский парк со стороны Ленинградского проспекта в 1970—1980-х годах вместе с Н. С. Строевым?,Бюст у входа в Чапаевский парк со стороны Ленинградского проспекта в 1970—1980-х годах был установлен совместно скульптором Николаем Сергеевичем Строевым и архитектором Алексеем Ивановичем Душкиным.,0.9906801561427758
"Кто в 1513 году, пройдя Панамский перешеек, увидел Тихий океан и назвал его «Южным морем»?","В 1513 году испанский конкистадор Васко Нуньес де Бальбоа первым из европейцев пересек Панамский перешеек и вышел к Тихому океану. Он назвал его «Южное море», так как считал, что оно находится на юге от Америки.",0.074726916084812
Кто снял фильм «День сурка» (1993)?,Фильм «День сурка» 1993 года был снят режиссёром Гарольдом Рэмисом.,0.0018389617538676
Кто заменил Джона Терри на посту капитана сборной Англии 5 февраля 2010 года?,Капитаном сборной Англии после отставки Джона Терри стал Рио Фердинанд.,0.0608828800665507
"Кто командовал армией и одержал победу над Катилиной в битве под Писторией в январе 62 года до н. э., после того как Гай Антоний Гибрида передал ему командование?",В битве под Писторией в январе 62 года до н. э. победу над Катилиной одержал **Гней Октавий**.,0.0434398760184134
"Кем был автор памятника советскому разведчику Геворку Вартаняну, открытого в Москве на Троекуровском кладбище 24 октября 2012 года?","Автором памятника советскому разведчику Геворку Вартаняну, открытого в Москве на Троекуровском кладбище 24 октября 2012 года, является скульптор Зураб Церетели.",0.547143786789079
Сколько слов в неделю разрешалось Юджину Дебсу рассылать в рамках президентской кампании 1920 года после давления прессы на министерство юстиции в сентябре?,"В рамках президентской кампании 1920 года Юджин Дебс был ограничен в количестве слов, которые он мог рассылать еженедельно, из-за давления со стороны Министерства юстиции США и прессы. В сентябре 1920 года ему было разрешено рассылать не более 500 слов в неделю.",0.2654082605815984
Кто описал сибирского воронка в 1811 году?,Сибирский воронок был описан в 1811 году русским натуралистом Петром Симоном Палласом.,0.2553793181588566
"Где в настоящее время выставляется картина Архипа Куинджи «Берёзовая роща» (изначальная версия, созданная в 1879 году)?","Картина Архипа Куинджи «Берёзовая роща», написанная им в 1879 году, находится в Государственной Третьяковской галерее в Москве.",0.0672420462174564
