prompt,model_answer,predict_proba,query
Какие два самолёта нанесли первый удар по японскому авианосцу «Дзуйхо» в ходе боя у островов Санта-Крус?,В бою у островов Санта-Крус 26 октября 1942 года первый удар по японскому авианосцу «Дзуйхо» нанесли самолёты с американских авианосцев «Энтерпрайз» и «Хорнет».,0.04676917124436798,Какие два самолёта нанесли первый удар по японскому авианосцу «Дзуйхо» в ходе боя у островов Санта-Крус?
В каком году на территориях бывшего нацистской Германии и его сателлитов возникла необходимость в местных выпусках марок?,"После окончания Второй мировой войны в 1945 году территории бывшей нацистской Германии и её сателлитов оказались разделены между победителями — СССР, США, Великобританией и Францией. В результате этого раздела возникли новые административные единицы, каждая из которых нуждалась в собственных почтовых услугах. 

Например, после разделения Германии на четыре зоны оккупации были созданы отдельные почтовые службы для каждой из них. Аналогичная ситуация наблюдалась и в других странах, таких как Австрия, которая также была разделена на оккупационные зоны. Эти местные выпуски марок стали необходимыми для обеспечения эффективной коммуникации внутри этих новых административных единиц.",0.15307636096565386,В каком году на территориях бывшего нацистской Германии и его сателлитов возникла необходимость в местных выпусках марок?
"Кто, согласно заключению комиссии Королевского общества по итогам спора о приоритете в математическом анализе, был признан первым изобретателем?","Согласно заключению комиссии Королевского общества по итогам спора о приоритете в математическом анализе, Исаак Ньютон был признан первым изобретателем.",0.30513927045997474,"Кто, согласно заключению комиссии Королевского общества по итогам спора о приоритете в математическом анализе, был признан первым изобретателем?"
Какой рейтинг на сайте Rotten Tomatoes получил эпизод «Славная миссия» из первого сезона сериала «Локи»?,Эпизод «Славная миссия» из первого сезона сериала «Локи» имеет рейтинг 97% на сайте Rotten Tomatoes.,0.01879690381149529,Какой рейтинг на сайте Rotten Tomatoes получил эпизод «Славная миссия» из первого сезона сериала «Локи»?
Кто в 1984 году обнаружил полную редакцию романа Уильяма Берроуза «Интерзона» в архиве Аллена Гинзберга при Колумбийском университете?,В 1984 году полный текст романа Уильяма Берроуза «Интерзон» был обнаружен и опубликован Майклом Катфордом (Michael Catford).,0.7751212634719938,Кто в 1984 году обнаружил полную редакцию романа Уильяма Берроуза «Интерзона» в архиве Аллена Гинзберга при Колумбийском университете?
Кого Черкес Хасан-бей убил в ночь с 15 на 16 июня 1876 года в особняке Мидхата-паши в Стамбуле?,В ночь с 15 на 16 июня 1876 года в особняке Мидхата-паши в Стамбуле был убит министр иностранных дел Османской империи Шукри-паша.,0.9611276079064814,Кого Черкес Хасан-бей убил в ночь с 15 на 16 июня 1876 года в особняке Мидхата-паши в Стамбуле?
Каким диакритическим знаком в научных статьях обычно обозначается высокий тон?,В научных статьях для обозначения высокого тона используется знак акута (´).,0.44255769869404255,Каким диакритическим знаком в научных статьях обычно обозначается высокий тон?
От какого слова происходит русское название растения «очанка»?,"Русское название растения «очанка» происходит от слова «очи», что в переводе с русского языка означает «глаза». Это связано с тем, что очанка традиционно используется для лечения глазных заболеваний и улучшения зрения.",0.6121163346033797,От какого слова происходит русское название растения «очанка»?
"Какой архитектурный стиль в Париже, появившийся во второй половине XVII века в сооружении Лувра, почти целое столетие сосуществовал с архитектурой барокко?","В Париже во второй половине XVII века появился архитектурный стиль, который почти целое столетие сосуществовал с архитектурой барокко. Этот стиль называется классицизм. Он характеризуется строгими формами, симметрией и использованием классических элементов архитектуры, таких как колонны и фронтоны.",0.7457539889571632,"Какой архитектурный стиль в Париже, появившийся во второй половине XVII века в сооружении Лувра, почти целое столетие сосуществовал с архитектурой барокко?"
"В каком году император Николай II подтвердил указ Александра II о государственных цветах России: чёрном, жёлтом и белом?",Император Николай II подтвердил указ Александра II о государственных цветах России в 1896 году.,0.5253216813378808,"В каком году император Николай II подтвердил указ Александра II о государственных цветах России: чёрном, жёлтом и белом?"
"Какой роман Стивена Кинга Стэнли Кубрик выбрал для экранизации после того, как швырял другие книги в стену?","После того, как Стивен Кинг швырнул книгу «Сияние» в стену, Стэнли Кубрик решил выбрать её для экранизации.",0.9297584802579806,"Какой роман Стивена Кинга Стэнли Кубрик выбрал для экранизации после того, как швырял другие книги в стену?"
"Какой лозунг провозгласил император Педру I 7 сентября 1822 года, объявляя о разрыве уз с Португалией и клянясь обеспечить независимость Бразилии?","Лозунг, который провозгласил император Педру I 7 сентября 1822 года, был «Independência ou Morte!» («Независимость или смерть!»)",0.0683390088676688,"Какой лозунг провозгласил император Педру I 7 сентября 1822 года, объявляя о разрыве уз с Португалией и клянясь обеспечить независимость Бразилии?"
"В каком году Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия, подтвердив гипотезу Артура Эддингтона о «каппа-механизме»?","Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия в 1952 году, что подтвердило гипотезу Артура Эддингтона о «каппа-механизме».",0.013341111535833892,"В каком году Сергей Жевакин обнаружил в спектрах цефеид линии ионизованного гелия, подтвердив гипотезу Артура Эддингтона о «каппа-механизме»?"
"Кто был главным конструктором ОКБ-586, выступившим в 1956 году с инициативой создания МБР на высококипящих компонентах топлива?","Главным конструктором ОКБ-586, который выступил в 1956 году с инициативой создания межконтинентальной баллистической ракеты (МБР) на высококипящих компонентах топлива, был Михаил Кузьмич Янгель.",0.013575238040763304,"Кто был главным конструктором ОКБ-586, выступившим в 1956 году с инициативой создания МБР на высококипящих компонентах топлива?"
Кто убедила царя Пирра напасть на Спарту в 272 году?,"В 272 году до н. э. царь Пирр, который уже воевал с Римом и был известен своими победами, решил вторгнуться в Спарту. Однако его решение было не самостоятельным, а скорее результатом давления со стороны других греческих городов и политических деятелей того времени.

Пирр был приглашен в Грецию по просьбе некоторых городов, которые надеялись получить его помощь против Македонии под управлением Антигонидов. Эти города, включая Аркадию и Элиду, были обеспокоены растущей мощью Македонии и искали союзников для защиты своих интересов.

Однако наиболее важным фактором, повлиявшим на решение Пирра, была поддержка от Клеонима, одного из лидеров спартанцев. Клеоним стремился укрепить свою власть внутри Спарты и видел в Пирре потенциального союзника, способного помочь ему в достижении этой цели. Он убедил Пирра, что нападение на Спарту будет выгодным шагом, так как оно позволит ему завоевать уважение и поддержку среди других греческих государств.

Таким образом, хотя Пирр сам принял решение о нападении на Спарту, он был убежден в необходимости этого действия благодаря влиянию Клеонима и других политических деятелей, которые видели в этом шаге возможность укрепить свои позиции в регионе.",0.9093467330146977,Кто убедила царя Пирра напасть на Спарту в 272 году?
В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с кем?,В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с Жаном Лорреном.,0.6899248854017708,В феврале 1897 года Жан Беро был приглашен писателем Марселем Прустом в качестве секунданта на дуэль с кем?
Сколько афинян погибло в битве при Марафоне согласно Геродоту?,"Согласно Геродоту, в битве при Марафоне погибло 192 афинянина и 59 платейцев.",0.003611968775115723,Сколько афинян погибло в битве при Марафоне согласно Геродоту?
"Кто вёл войско бактрийцев, согдиан и индов на левом южном фланге персидской армии в битве при Гавгамелах 1 октября 331 года?","В битве при Гавгамелах 1 октября 331 года войско бактрийцев, согдиан и индов на левом южном фланге персидской армии возглавлял сатрап Бактрии Бесс.",0.03669084346352693,"Кто вёл войско бактрийцев, согдиан и индов на левом южном фланге персидской армии в битве при Гавгамелах 1 октября 331 года?"
"Какой генерал-майор в марте 2020 года заявил, что на восстановление репутации Полка после доказанных военных преступлений потребуется не менее десяти лет?","В марте 2020 года генерал-майор Сергей Качковский заявил, что на восстановление репутации полка «Азов» после доказанных военных преступлений потребуется не менее десяти лет.",0.9993499027453202,"Какой генерал-майор в марте 2020 года заявил, что на восстановление репутации Полка после доказанных военных преступлений потребуется не менее десяти лет?"
Кого Маргарет Смит обыграла в четвертьфинале чемпионата Австралии среди взрослых в 1960 году?,В четвертьфинале чемпионата Австралии среди взрослых в 1960 году Маргарет Смит обыграла **Мэри Фишер**.,0.9542305983607081,Кого Маргарет Смит обыграла в четвертьфинале чемпионата Австралии среди взрослых в 1960 году?
В каком году в Японии на платформе PlayStation Portable была выпущена ролевая игра Fate/Extra?,Ролевая игра Fate/Extra для платформы PlayStation Portable была выпущена в 2010 году.,0.00048770675120900984,В каком году в Японии на платформе PlayStation Portable была выпущена ролевая игра Fate/Extra?
Какой гербарий включал не менее 25 семейств эндемиков Нового Южного Уэльса в ходе Первой русской антарктической экспедиции?,"В ходе Первой русской антарктической экспедиции на судне «Винди» был собран гербарий, который включал не менее 25 семейств эндемиков Нового Южного Уэльса.",0.7005705911927878,Какой гербарий включал не менее 25 семейств эндемиков Нового Южного Уэльса в ходе Первой русской антарктической экспедиции?
"Как назывался суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года?","Суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года, назывался **«судом тень»** или **«судом мумии»**.",0.9517784273827333,"Как назывался суд над покойным папой Формозом, устроенный папой Стефаном VI в конце 896 или январе 897 года?"
"Какой режиссёрский фильм 1947 года стал первым в череде работ Жана-Пьера Мельвиля, основанных на литературном материале?","Фильм «Молчание моря» («Le Silence de la mer») режиссёра Жана-Пьера Мельвиля был выпущен в 1947 году и стал первым в его карьере, основанным на литературном материале. Этот фильм является экранизацией одноимённого романа Жака Превера.",0.9321852218007521,"Какой режиссёрский фильм 1947 года стал первым в череде работ Жана-Пьера Мельвиля, основанных на литературном материале?"
"Какую основную причину совершения убийств в Мюнхене в 2016 году назвали в докладе Министерства Внутренних дел Баварии, опубликованном в апреле 2017 года?","В докладе Министерства внутренних дел Баварии, опубликованном в апреле 2017 года, основной причиной убийств в Мюнхене в 2016 году была названа личная месть.",0.029814882328374318,"Какую основную причину совершения убийств в Мюнхене в 2016 году назвали в докладе Министерства Внутренних дел Баварии, опубликованном в апреле 2017 года?"
"Какой энциклике, посвящённой экуменическому диалогу, впервые в истории папства выпустил Иоанн Павел II в 1995 году?",Энциклика «Ut unum sint» («Да будем едиными») была выпущена Иоанном Павлом II в 1995 году и посвящена экуменическому диалогу.,0.0024839391439749883,"Какой энциклике, посвящённой экуменическому диалогу, впервые в истории папства выпустил Иоанн Павел II в 1995 году?"
"В каком году Томас, 8-й барон де Клиффорд, начал строительство в замке Скиптон?","Томас, 8-й барон де Клиффорд, начал строительство замка Скиптон примерно в **1309 году**.",0.02415055416855589,"В каком году Томас, 8-й барон де Клиффорд, начал строительство в замке Скиптон?"
"Кто после разгрома Мунузы решил расправиться с Эдом Аквитанским и возглавил армию, осадившую Бордо?","После разгрома Мунузы в 732 году армией франков под предводительством Карла Мартелла, который стал известен как Карл Великий, новый лидер арабского войска, по имени Абд аль-Рахман, решил отомстить за поражение и начать новую кампанию против христианских земель. Он собрал большую армию и двинулся на юг, чтобы атаковать город Бордо, столицу Аквитании. Однако его планы были нарушены, когда он был убит во время битвы при Пуатье в 732 году. После этого сражения франки смогли остановить продвижение арабов и защитить свои земли.",0.9975821507858752,"Кто после разгрома Мунузы решил расправиться с Эдом Аквитанским и возглавил армию, осадившую Бордо?"
Какое решение приняло руководство Daimler в ноябре 2011 года относительно бренда Maybach?,В ноябре 2011 года руководство Daimler приняло решение прекратить производство и продажу автомобилей под брендом Maybach. Это было связано с низким спросом на автомобили этого класса и необходимостью сосредоточиться на более популярных моделях Mercedes-Benz.,0.03307760401733536,Какое решение приняло руководство Daimler в ноябре 2011 года относительно бренда Maybach?
"В 2003 году группа религиозных деятелей, протестуя против проекта Сэмангым, совершила марш от Сэмангыма в какой город?","Группа религиозных деятелей, протестовавших против проекта Сэмангым, совершила марш от Сэмангыма в город Сеул.",0.9251926583037436,"В 2003 году группа религиозных деятелей, протестуя против проекта Сэмангым, совершила марш от Сэмангыма в какой город?"
"Кто, по утверждению турецкого историка А. Оджак, организовал инцидент Бучуктепе в марте 1446 года с целью свергнуть Мехмеда II?","По утверждению турецкого историка А. Оджака, организатором инцидента Бучуктепе в марте 1446 года с целью свержения Мехмеда II был его отец, султан Мурад II.",0.6095597344839725,"Кто, по утверждению турецкого историка А. Оджак, организовал инцидент Бучуктепе в марте 1446 года с целью свергнуть Мехмеда II?"
Сколько мест в Московской городской думе получили кандидаты от КПРФ на выборах 2019 года?,На выборах в Московскую городскую думу в 2019 году кандидаты от КПРФ не смогли получить ни одного места.,0.011168405594672201,Сколько мест в Московской городской думе получили кандидаты от КПРФ на выборах 2019 года?
В каком году президент Билл Клинтон наградил Розу Паркс Президентской медалью Свободы?,Президент Билл Клинтон наградил Розу Паркс Президентской медалью свободы в 1996 году.,0.0028147998032863266,В каком году президент Билл Клинтон наградил Розу Паркс Президентской медалью Свободы?
"Кто сыграл роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов», поставленном для канала НТВ в 2020 году?",Роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов» на канале НТВ в 2020 году исполнил актёр **Сергей Шакуров**.,0.8233206194128497,"Кто сыграл роль старого Николая Морозова в четырёхсерийном мини-сериале «Дед Морозов», поставленном для канала НТВ в 2020 году?"
Какой город стал столицей Урарту со времени правления царя Ишпуини?,Столицей Урарту со времени правления царя Ишпуини стал город Тушпа.,0.018008293816596584,Какой город стал столицей Урарту со времени правления царя Ишпуини?
В каком году для консолей Master System и Game Gear была выпущена видеоигра Sonic the Hedgehog Chaos?,"Видеоигра ""Sonic the Hedgehog Chaos"" для консолей Sega Master System и Sega Game Gear была выпущена в 1993 году.",0.0034553100869830805,В каком году для консолей Master System и Game Gear была выпущена видеоигра Sonic the Hedgehog Chaos?
"Сколько подводных лодок проекта 941 «Акула» было построено в итоге из-за договора ОСВ-1 и финансовых проблем, несмотря на первоначальный план построить 10 единиц?",Из-за договора ОСВ-1 и финансовых проблем всего было построено 6 подводных лодок проекта 941 «Акула».,0.3100411264521512,"Сколько подводных лодок проекта 941 «Акула» было построено в итоге из-за договора ОСВ-1 и финансовых проблем, несмотря на первоначальный план построить 10 единиц?"
В каком году после смерти Сталина стала возможной проверка и критика фактических данных О. Б. Лепешинской?,"После смерти И. В. Сталина в 1953 году началась десталинизация советского общества, что привело к ослаблению идеологического контроля над наукой и возможностью для более объективной оценки научных достижений. Ольга Борисовна Лепешинская была известным советским биологом, которая утверждала, что она наблюдала процесс превращения неспециализированных клеток в специализированные клетки, известный как ""теория клеточной пластичности"". Однако её утверждения были подвергнуты критике со стороны других учёных, которые считали их необоснованными и противоречащими современным научным знаниям о клетке. После смерти Сталина и начала процесса десталинизации, критики Лепешинской получили больше свободы и возможности высказывать свои мнения без страха репрессий.",0.9372380559224395,В каком году после смерти Сталина стала возможной проверка и критика фактических данных О. Б. Лепешинской?
В каком возрасте был расстрелян Роман Ефимович Петров?,"Роман Ефимович Петров родился 15 октября 1903 года в селе Ивановка Полтавской губернии Российской империи. Он был известным советским военным летчиком, участником Великой Отечественной войны и дважды Героем Советского Союза. 

Петров погиб во время воздушного боя с немецкими истребителями 27 июля 1943 года над Курской битвой. Ему было всего 39 лет.",0.9968856287307712,В каком возрасте был расстрелян Роман Ефимович Петров?
Сколько миллионов долларов пожертвовала семья Краун на строительство и проектирование Фонтана Крауна?,Семья Краун пожертвовала 10 миллионов долларов на строительство и проектирование Фонтанов Крауна в Лос-Анджелесе.,0.2727599186939269,Сколько миллионов долларов пожертвовала семья Краун на строительство и проектирование Фонтана Крауна?
Кто был матерью Стефана Драгутина?,Мать короля Сербии Стефана Драгутина была **Елена Анжуйская** (серб. Елена Анжујска). Она была дочерью Карла II Анжуйского и Марии Монферратской.,0.037735666508402065,Кто был матерью Стефана Драгутина?
Как называлась улица Плебанская или Плебанских мельниц после её переименования в 1866 году?,Улица Плебанская или Плебанских мельниц была переименована в улицу Лоскутова в 1866 году.,0.9929979666708361,Как называлась улица Плебанская или Плебанских мельниц после её переименования в 1866 году?
"Кто принял на себя всю вину за неудачу в сражении, из-за которой президент осудил его за недостаточную бдительность, а генерал Ли сказал: «Хорошо, хорошо, генерал, похороните этих бедных парней и больше не будем об этом»?","В данном вопросе речь идет о генерале армии Конфедерации Джеймсе Лонгстрит, который был одним из самых способных командиров армии Северной Вирджинии под командованием генерала Роберта Э. Ли во время Гражданской войны в США. В битве при Геттисберге, которая произошла 1-3 июля 1863 года, армия Конфедерации потерпела поражение от армии Союза. После битвы генерал Ли выразил свое недовольство действиями Лонгстрита, обвинив его в недостаточной бдительности и плохой координации с другими командирами. Однако, несмотря на это, Лонгстрит продолжал служить в армии Конфедерации до ее капитуляции в апреле 1865 года.",0.9555844920374184,"Кто принял на себя всю вину за неудачу в сражении, из-за которой президент осудил его за недостаточную бдительность, а генерал Ли сказал: «Хорошо, хорошо, генерал, похороните этих бедных парней и больше не будем об этом»?"
"В каком году, согласно османским хроникам, упомянутым И. Узунчаршилы, произошло окончательное завоевание бейлика Карасы?",Окончательное завоевание бейлика Карасы османами произошло в 1390 году.,0.6389211950406003,"В каком году, согласно османским хроникам, упомянутым И. Узунчаршилы, произошло окончательное завоевание бейлика Карасы?"
