dataset_name,query,correct_answer,model_answer,judge_score,is_hallucination
rubq-20,В каком городе находится Малахов курган?,Севастополь,Малахов курган находится в Севастополе.,не галлюцинация,0
rubq-20,В какой стране находится историческая Родина графа Дракулы - Трансильвания?,Румыния,Трансильвания находится в **Румынии**.,не галлюцинация,0
rubq-20,Какой язык является официальным в Австралии?,Английский,Английский.,не галлюцинация,0
rubq-20,Какой город является административным центром американского штата Арканзас?,Литл-Рок,Литл-Рок.,не галлюцинация,0
rubq-20,"Кем была Лайка — первая собака, отправленная в космос?",дворнягой,"Лайка была советской собакой-космонавтом, первой живой тварью, отправленной в космос на корабле ""Спутник-2"" 3 ноября 1957 года. Уверен.",галлюцинация,1
rubq-20,В каком канадском хоккейном клубе играл Алексей Поникаровский?,Торонто Мэйпл Лифс,"Алексей Поникаровский играл в клубе НХЛ ""Торонто Мейпл Лифс"" (2010–2013) и в его фарм-клубе АХЛ ""Торонто Марлис"".",не галлюцинация,0
rubq-20,Как теперь называется Порт-Артур?,Люйшунь,Люйшунь (кит. 旅顺).,не галлюцинация,0
rubq-20,Какой певческий голос у Дмитрия Хворостовского?,Баритон,Баритон.,не галлюцинация,0
rubq-20,Какой обьект исследует американский космический аппарат «Оппортьюнити»?,Марс,Американский марсоход «Оппортьюнити» исследует поверхность Марса.,не галлюцинация,0
rubq-20,"Кто снял кинофильмы про ""неуловимых мстителей""?",Эдмонд Кеосаян,Режиссёр — Эдмонд Кеосаян.,не галлюцинация,0
rubq-20,В каком из городов СССР была пущена первая в мире атомная электростанция?,Обнинск,"Обнинск (Калужская область, РСФСР). Пущена в 1954 году.",не галлюцинация,0
rubq-20,"Кто написал роман ""Призрак оперы""?",Гастон Леру,Гастон Леру.,не галлюцинация,0
rubq-20,Внутри какой страны находится республика Сан-Марино?,Италия,Сан-Марино находится внутри Италии.,не галлюцинация,0
rubq-20,В каком из городов находится штаб-квартира НАТО?,"Брюссель, Бельгия.","Штаб-квартира НАТО находится в Брюсселе, Бельгия.",не галлюцинация,0
rubq-20,В каком городе установлена копия московского памятника Минину и Пожарскому?,В Нижнем Новгороде (копия московского памятника).,Нижний Новгород.,не галлюцинация,0
rubq-20,В каком виде спорта первую для России олимпийскую медаль выиграла в 2010 году Екатерина Илюхина?,Сноубординг,Сноуборд.,галлюцинация,1
rubq-20,В какой стране однопалатный парламент называется стортинг?,Норвегия,Норвегия.,не галлюцинация,0
rubq-20,Сыном какой страны был великий педагог И. Г. Песталоцци?,Швейцария,Швейцарии.,не галлюцинация,0
rubq-20,"Где действовала подпольная организация ""Молодая гвардия""?",Краснодон,"Подпольная организация ""Молодая гвардия"" действовала в городе Краснодоне, Ворошиловградской области (ныне Луганская область, Украина) во время Великой Отечественной войны.",не галлюцинация,0
rubq-20,В каком архитектурном стиле построено здание Большого театра в Москве?,Классицизм,Здание Большого театра в Москве построено в стиле ампир (поздний классицизм).,не галлюцинация,0
rubq-20,Кто из пиратов плавал на корабле «Золотая лань»?,Фрэнсис Дрейк,"На корабле ""Золотая лань"" плавал пират Фрэнсис Дрейк.",не галлюцинация,0
rubq-20,"Как звали дочь Иродиады, танец которой вынудил Ирода отдать приказ обезглавить Иоанна Крестителя?",Саломея,Саломея.,не галлюцинация,0
rubq-20,"В каком городе России установлен памятник «Белому Биму», сеттеру, герою книги Гавриила Троепольского «Белый Бим – черное ухо»?",Воронеж,Воронеж.,не галлюцинация,0
rubq-20,"Кто из рок-музыкантов выступал под псевдонимом ""Зигги - звезная пыль""?",Дэвид Боуи,"Не уверен, но наиболее известным музыкантом, выступавшим под псевдонимом ""Зигги Стардаст"" (Ziggy Stardust), является Дэвид Боуи.",не галлюцинация,0
rubq-20,Какой город является столицей Лесото?,Масеру,Масеру.,не галлюцинация,0
rubq-20,Какой архитектор был автором проекта Храма Христа Спасителя?,К. А. Тон,Автором проекта Храма Христа Спасителя был архитектор Константин Тон.,не галлюцинация,0
rubq-20,Откуда вытекает река Нева?,Из Ладожского озера,Река Нева вытекает из Ладожского озера.,не галлюцинация,0
rubq-20,как звали собаку билла клинтона,бадди,У Билла Клинтона была собака по кличке Бадди.,не галлюцинация,0
rubq-20,"Кем был американец Джозеф Глидден, получивший в 1874 году патент на изобретение колючей проволоки?",фермером,Американский фермер.,не галлюцинация,0
rubq-20,Какой стиль сменила эпоха Возрождения?,готика,Эпоха Возрождения сменила Средневековье (V–XV века).,галлюцинация,1
rubq-20,Где находится мост Александра III?,Париж,"Мост Александра III находится в Париже, Франция, пересекая реку Сену.",не галлюцинация,0
rubq-20,В какой стране находится стадион «Маракана»?,Бразилия,Бразилия.,не галлюцинация,0
rubq-20,Кто написал роман «Триумфальная арка»?,Эрих Мария Ремарк,"Роман ""Триумфальная арка"" написал Эрих Мария Ремарк.",не галлюцинация,0
rubq-20,Кто написал картину «Черный квадрат»?,Казимир Северинович Малевич,Автор картины «Черный квадрат» — Казимир Малевич (1915 год).,не галлюцинация,0
rubq-20,Кто написал картину «Сикстинская Мадонна»?,Рафаэль Санти,Рафаэль Санти.,не галлюцинация,0
rubq-20,В каком городе Бразилии родился Пеле?,Трес-Корасойнс,"Пеле родился в городе Трес-Корасойнс, Бразилия.",не галлюцинация,0
rubq-20,"На каком стадионе, 1 июля в Киеве, прошёл финальный матч чемпионата Европы по футболу 2012 года?",Олимпийский,"Национальный спортивный комплекс ""Олимпийский"".",не галлюцинация,0
rubq-20,"В каком городе проводился фестиваль ""Рок над Волгой""?",Самара,Волгоград.,галлюцинация,1
rubq-20,Как зовут дочь основательницы Кондиды Когтевран?,Елена Когтевран,"Я не уверен, но, вероятно, речь идет о **Хелене Когтевран** (Helena Ravenclaw), дочери Ровены Когтевран.",галлюцинация,1
rubq-20,Кто написал повесть «Джон Ячменное Зерно»?,Джек Лондон,"Повесть ""Джон Ячменное Зерно"" (John Barleycorn) написал Джек Лондон.",галлюцинация,1
rubq-20,"На какой киностудии снят фильм ""Место встречи изменить нельзя""",Одесская киностудия,"Фильм ""Место встречи изменить нельзя"" снят на киностудии имени Горького.",не галлюцинация,0
rubq-20,При какой династии были совершены знаменитые мореплавания Чжэн Хэ?,Мин,При династии Мин (1368–1644).,не галлюцинация,0
rubq-20,При каком российском монархе возник Государственный Музей Эрмитаж?,Екатерина II,При Екатерине II (в 1764 году).,не галлюцинация,0
rubq-20,В каком старинном городе находится мужской Старо-Голутвин монастырь?,Коломна,Старо-Голутвин монастырь находится в городе Коломна.,не галлюцинация,0
rubq-20,Какая форма правления установлена в Швейцарии?,Федеративная республика,В Швейцарии установлена **федеративная республика с элементами прямой демократии**.,не галлюцинация,0
rubq-20,Где в настоящее время находится историческая область Ширван?,Азербайджан,В Азербайджане.,не галлюцинация,0
rubq-20,Какой период в истории Японии следовал сразу после периода Хэйан?,Камакура,Период Камакура (1185–1333).,не галлюцинация,0
rubq-20,Кем был по происхождению Емельян Пугачев?,Казак,Емельян Пугачёв был донским казаком по происхождению.,не галлюцинация,0
rubq-20,Кто был режиссёром советской версии телесериала о Шерлоке Холмсе?,Игорь Масленников,Режиссёром советской версии телесериала о Шерлоке Холмсе (1979–1986) был **Игорь Масленников**.,не галлюцинация,0
rubq-20,Как настоящее имя известного итальянского певца Тото Кутуньо?,Сальваторе,Настоящее имя Тото Кутуньо — Сальваторе Энцо Кутуньо.,не галлюцинация,0
rubq-20,Когда отмечается День народного единства?,4 ноября,4 ноября.,не галлюцинация,0
rubq-20,Кем является Лео Антонович Бокерия?,Кардиохирургом,"Лео Антонович Бокерия — российский кардиохирург, академик РАН и РАМН, директор Научного центра сердечно-сосудистой хирургии им. А. Н. Бакулева.",не галлюцинация,0
rubq-20,Кем изначально по специальности был Френсис Крик - первооткрыватель (вместе с Дж. Уотсоном) спирали ДНК?,физик,Френсис Крик изначально был физиком.,не галлюцинация,0
rubq-20,Какой город является столицей Исландии?,Рейкьявик,Рейкьявик.,не галлюцинация,0
rubq-20,В каком городе родился Плутарх?,Херонея,"Херонея, Греция.",не галлюцинация,0
rubq-20,"В каком ""рукаве"" Млечного Пути находится Солнечная система?",Рукав Ориона,"Солнечная система находится в рукаве Ориона, который является ответвлением рукава Стрельца.",галлюцинация,1
rubq-20,Какой город является административным центром Приморского края?,Владивосток,Владивосток.,не галлюцинация,0
rubq-20,"В какой науке достиг значительных высот Джон Дальтон, именем которого названо заболевание дальтонизм?",Химия,Джон Дальтон достиг значительных высот в **физике** и **химии**.,не галлюцинация,0
rubq-20,Где родился художник И. Репин?,Чугуев,"Илья Репин родился в городе Чугуев, Харьковская губерния, Российская империя (ныне Украина).",не галлюцинация,0
rubq-20,"Кто автор культового романа ""Пролетая над гнездом кукушки""?",К. Кизи,"Автор романа ""Пролетая над гнездом кукушки"" — Кен Кизи.",не галлюцинация,0
rubq-20,"Кто из австралийских писателей является автором книги «Ковчег Шиндлера», по которой был поставлен оскароносный фильм?",Томас Кенилли,Автором книги «Ковчег Шиндлера» (англ. *Schindler's Ark*) является австралийский писатель Томас Кенилли. Фильм «Список Шиндлера» (1993) снят по этой книге.,не галлюцинация,0
rubq-20,Какая страна выпускает самолеты марки Embraer?,Бразилия,Бразилия.,не галлюцинация,0
rubq-20,"Какой режиссер поставил кинофильм ""Республика ШКИД""?",Геннадий Полока,Режиссер — **Геннадий Полока**.,не галлюцинация,0
rubq-20,Кто автор романа «В круге первом»?,Александр Солженицын,Автор романа «В круге первом» — Александр Солженицын.,не галлюцинация,0
rubq-20,В каком виде спорта Елена Петушкова завоевала Олимпийскую золотую медаль?,Выездка,Конный спорт (выездка).,не галлюцинация,0
rubq-20,"Кто написал роман и одноименную пьесу ""Дама с камелиями""?",Александр Дюма-сын,Ответ: Александр Дюма-сын.,не галлюцинация,0
rubq-20,В какой группе пел Джим Моррисон?,The Doors,Джим Моррисон был вокалистом группы The Doors.,не галлюцинация,0
rubq-20,Как зовут единственную дочь Элвиса Пресли?,Лиза Мария,Lisa Marie Presley.,не галлюцинация,0
rubq-20,Где было построено одно из чудес света - Фаросский (Александрийский) маяк?,Египет,"Александрийский маяк был построен на острове Фарос в Александрии, Египет.",не галлюцинация,0
rubq-20,"В каком польском городе происходит действие кинофильма Стивена Спилберга ""Список Шиндлера""?",Краков,Действие фильма происходит в Кракове.,не галлюцинация,0
rubq-20,"Кто автор музыки, звучащей в телесериале «Мастер и Маргарита» режиссера В. Бортко?",Игорь Корнелюк,Автор музыки — Игорь Корнелюк.,не галлюцинация,0
rubq-20,"Какой рок-группе принадлежит авторство известной композиции: ""Все это рок-н-ролл""?",Алиса,"Песня ""Все это рок-н-ролл"" написана группой **Deep Purple** (альбом *The House of Blue Light*, 1987). Авторы: Иэн Гиллан и Роджер Гловер.",галлюцинация,1
rubq-20,"В каком городе находится памятник ""Тысячелетие России"" скульпторов Микешина и Шредера?",Великий Новгрод,Новгород.,не галлюцинация,0
rubq-20,Какой город является столицей государства Папуа - Новая Гвинея?,Порт-Морсби,Порт-Морсби.,не галлюцинация,0
rubq-20,"Кто автор популярнейшей украинской песни ""Червона рута""?",Владимир Ивасюк,"Автор песни ""Червона рута"" — Владимир Ивасюк.",не галлюцинация,0
rubq-20,"Кто написал трактат ""Поэтика""?",Аристотель,"Вопрос: Кто написал трактат ""Поэтика""?

Ответ: Аристотель.",не галлюцинация,0
rubq-20,В какой стране расположен знаменитый римский акведук Пон-дю-Гар?,Франция,Франция.,не галлюцинация,0
rubq-20,"Кто является автором ""Композиции VI""?",Василий Кандинский,"Автором ""Композиции VI"" является Василий Кандинский.",не галлюцинация,0
rubq-20,Какой римский император написал философское сочинение «Наедине с собой»?,Марк Аврелий,Марк Аврелий.,не галлюцинация,0
rubq-20,"Кто автор пьесы ""Средство Макропулоса""?",Карел Чапек,"Автор пьесы ""Средство Макропулоса"" — Карел Чапек.",не галлюцинация,0
rubq-20,Какой стране принадлежит остров Ибица,Испания,Остров Ибица принадлежит Испании.,не галлюцинация,0
rubq-20,Какой голос имел певец Хворостовский,Баритон,Басовой-bariton.,галлюцинация,1
rubq-20,Какой язык является оффициальным в Бразилии,Португальский,Португальский.,не галлюцинация,0
rubq-20,Из какой страны группа АББА,Швеция,Швеция.,не галлюцинация,0
rubq-20,Какой стране принадлежит черноморский остров Змеиный?,Украина,Украине.,не галлюцинация,0
rubq-20,Какая страна считает себя родиной картофеля фри?,Бельгия,Бельгия считает себя родиной картофеля фри.,не галлюцинация,0
rubq-20,Кто автор пьесы «Свадьба Кречинского»?,Сухово-Кобылин,Автор пьесы «Свадьба Кречинского» — Александр Васильевич Сухово-Кобылин.,не галлюцинация,0
rubq-20,В каком городе родился Карл Маркс?,Трир,"Город Трир, Германия.",не галлюцинация,0
rubq-20,В каком городе умерла святая покровительница Беларуси Евфросинья Полоцкая?,Иерусалим,В Киеве.,галлюцинация,1
rubq-20,"Кто в 2013 году стал первым президентом Чехии, избранным путём всенародных выборов?",Милош Земан,"В 2013 году первым президентом Чехии, избранным путём всенародных выборов, стал Милош Земан.",не галлюцинация,0
rubq-20,В какой стране расположен вулкан Гарибальди?,Канада,Канада.,не галлюцинация,0
rubq-20,Какой минерал является основной составляющей частью известняка?,Кальцит,Основная составляющая известняка — кальцит (CaCO₃).,не галлюцинация,0
rubq-20,Какое событие в истории США послужило основой сюжета романа Стивена Кинга «11/22/63»?,Убийство Дж. Ф. Кеннеди,"Покушение на президента США Джона Кеннеди 22 ноября 1963 года в Далласе, Техас.",не галлюцинация,0
rubq-20,Какой художник является автором картин «Желтый Христос» и «Зелёный Христос»?,Поль Гоген,Автором картин «Желтый Христос» и «Зелёный Христос» является Поль Гоген.,не галлюцинация,0
rubq-20,В каком городе находится штаб-квартира международной организации Интерпол?,Лион,"Штаб-квартира Интерпола находится в Лионе, Франция.",не галлюцинация,0
rubq-20,Кем по профессии является София Губайдулина?,Композитор,София Губайдулина — композитор.,не галлюцинация,0
rubq-20,Какую премию получила Барбара Брыльска за исполнение роли Нади Шевелёвой?,Госпремия СССР,"Барбара Брыльска была номинирована на премию ""Золотой глобус"" за лучшую женскую роль в 1976 году за исполнение роли Нади Шевелёвой в фильме ""Ирония судьбы, или С лёгким паром!"". Однако, точных данных о получении премии нет.",галлюцинация,1
rubq-20,Кто является автором пьесы о легендарном античном мизантропе «Жизнь Тимона Афинского»?,Уильям Шекспир,Автором пьесы «Жизнь Тимона Афинского» является Уильям Шекспир.,не галлюцинация,0
rubq-20,"В каком городе находился Храм Артемиды, один из Семи чудес античности?",Эфес,Храм Артемиды находился в городе Эфес (на территории современной Турции).,не галлюцинация,0
rubq-20,В каком городе была сожжена Жанна Д'арк?,Руан,"Руан, Франция.",не галлюцинация,0
rubq-20,В каком городе Самарской области расположен автомобильный завод гигант - ВАЗ?,Тольятти,Тольятти.,не галлюцинация,0
rubq-20,"В какой азиатской стране находится достопримечательность, называемая ""шоколадные холмы""?",филиппины,Филиппины.,не галлюцинация,0
rubq-20,В каком государстве Южной Америки находится озеро-залив Маракайбо?,венесуэла,Озеро-залив Маракайбо находится в Венесуэле.,не галлюцинация,0
rubq-20,В какой европейской стране зародилось телешоу The Voice («Голос»)?,нидерланды,Нидерланды.,не галлюцинация,0
rubq-20,"Какова основная валюта, циркулирующая в Израиле?",шекель,Основная валюта Израиля — новый израильский шекель (ILS).,не галлюцинация,0
rubq-20,Какая страна на её официальном языке называется «Republika e Shqipërisë»?,албания,Албания.,не галлюцинация,0
rubq-20,Кем был Леон Бакст?,Художником,"Леон Бакст (1866–1924) — российский художник, сценограф и дизайнер, известный как создатель эскизов костюмов и декораций для Русских сезонов Сергея Дягилева.",не галлюцинация,0
rubq-20,Как называется самая высокая гора Украины,говерла,Говерла (2061 м).,не галлюцинация,0
rubq-20,Кто написал знаменитый марш «Прощание славянки»?,агапкин,"Вероятно, автор — Василий Иванович Агапкин (1912).",не галлюцинация,0
rubq-20,Когда отмечают в России православный праздник Медовый Спас?,14 августа,Православный праздник Медовый Спас (или Преображение Господне) отмечают 19 августа (6 августа по старому стилю).,не галлюцинация,0
rubq-20,"Где находится городок Типперери, упомянутый в названии знаменитой маршевой песни британской армии «It's a long way to Tipperary»?",В Ирландии,"Городок Типперери (Tipperary) находится в Ирландии, в графстве Южный Типперери.",не галлюцинация,0
rubq-20,Кто был подлинным изобретателем телефона?,меуччи,"Возможно, что подлинным изобретателем телефона был Антонио Меуччи, который подал заявку на патент в 1871 году, за несколько лет до Александра Белла. Однако его работа не была должным образом задокументирована, и патент не был продлён из-за финансовых трудностей. В 2002 году Конгресс США признал Меуччи изобретателем телефона.",не галлюцинация,0
rubq-20,В какой стране располагалось ныне пересохшее озеро Поопо?,боливия,Озеро Поопо располагалось в Боливии.,не галлюцинация,0
rubq-20,Чем является бордоская жидкость?,Фунгицидом,"Бордоская жидкость — это фунгицидный раствор, используемый для защиты растений от грибковых заболеваний. Состоит из медного купороса и гашёной извести.",не галлюцинация,0
rubq-20,В какой столице можно посетить Гугун — императорский дворец в Запретном городе?,пекин,"Пекин, Китай.",не галлюцинация,0
rubq-20,Кто является режиссёром советского кинофильма «Подкидыш»?,Татьяна Лукашевич,Режиссёром советского кинофильма «Подкидыш» (1939) является Тамара Лукашевич.,галлюцинация,1
