dataset_name,query,correct_answer,model_answer,judge_score,is_hallucination
rubq-20,Как называлась столица Крымского ханства?,Бахчисарай,"Столица Крымского ханства называлась **Бахчисарай**.

Город был основан в **XVI веке** и стал политическим, культурным и религиозным центром ханства. Здесь находились ханский дворец, мечети, медресе и другие важные сооружения. Бахчисарай оставался столицей до **1783 года**, когда Крым был аннексирован Российской империей.",не галлюцинация,0
rubq-20,Как назывался корабль Хана Соло?,тысячелетний сокол,"Корабль Хана Соло назывался **""Тысячелетний сокол""** (англ. *Millennium Falcon*). Это один из самых известных космических кораблей во вселенной ""Звёздных войн"".",не галлюцинация,0
rubq-20,Какой музыкальный инструмент прославил имя Генри Стейнве?,рояль,"Генри Стейнвей (нем. Heinrich Steinweg, позже Henry Steinway) прославился как основатель **фортепианной династии Steinway & Sons**, а его имя связано с созданием **роялей и пианино высочайшего качества**.

Сам Генри Стейнвей был мастером по изготовлению **роялей**, и его инструменты стали эталоном звучания и мастерства. В 1853 году он основал компанию **Steinway & Sons** в Нью-Йорке, которая до сих пор считается одним из ведущих производителей фортепиано в мире.

Таким образом, музыкальный инструмент, прославивший его имя, — это **рояль (фортепиано)**.",не галлюцинация,0
rubq-20,"Какой стране принадлежит авиакомпания ""Malev""?",Венгрия,Авиакомпания **Malev Hungarian Airlines** принадлежит **Венгрии**. Она была национальным авиаперевозчиком Венгрии до своего банкротства в 2012 году.,не галлюцинация,0
rubq-20,"Кто автор поэмы ""Энеида""?",Вергилий,"Автор поэмы **""Энеида""** — **Публий Вергилий Марон** (лат. Publius Vergilius Maro, 70—19 гг. до н. э.), великий римский поэт, живший во времена правления императора Августа.

""Энеида"" — это **эпическая поэма**, написанная в **12 книгах**, которая рассказывает о странствиях троянца Энея после падения Трои и о его путешествии в Италию, где он становится предком римлян. Поэма прославляет римские добродетели и предназначение Рима как новой империи.

Вергилий работал над ""Энеидой"" около **10 лет**, но так и не закончил её — перед смертью он приказал сжечь рукопись, но император Август распорядился сохранить произведение в том виде, в котором оно было.

""Энеида"" считается **одним из величайших произведений латинской литературы** и оказала огромное влияние на европейскую культуру.",не галлюцинация,0
rubq-20,"Кто автор романа ""Колыбель для кошки""?",Воннегут,"Автором романа **""Колыбель для кошки""** (англ. *Cat's Cradle*) является американский писатель **Курт Воннегут** (Kurt Vonnegut).

Этот роман был опубликован в **1963 году** и стал одним из самых известных произведений писателя. В книге сочетаются элементы научной фантастики, сатиры и чёрного юмора, исследуются темы науки, религии, войны и человеческой глупости.

Если у вас есть вопросы по произведению или творчеству Воннегута, спрашивайте!",не галлюцинация,0
rubq-20,"Кто написал роман ""Зима тревоги нашей""?",Джон Стейнбек,"Роман **""Зима тревоги нашей""** (*""The Winter of Our Discontent""*) написал американский писатель **Джон Стейнбек** (John Steinbeck). Книга была опубликована в **1961 году** и стала последним романом, изданным при жизни автора.

Произведение исследует темы **морали, жадности и морального упадка** в американском обществе, а также внутреннюю борьбу главного героя, Итана Хоули, который сталкивается с искушением изменить свою жизнь ради денег и власти.

Стейнбек был удостоен **Нобелевской премии по литературе** в 1962 году, и ""Зима тревоги нашей"" считается одним из его значительных произведений.",не галлюцинация,0
rubq-20,Кто первым открыл Южную Америку?,Колумб,"Первым европейцем, который достиг Южной Америки, считается **Христофор Колумб**. 12 октября 1492 года он высадился на острове Гуанахани (ныне остров Уотлинг в Багамском архипелаге), который он назвал Сан-Сальвадор. Однако это была Центральная Америка, а не Южная.

Первым европейцем, ступившим на **материковую часть Южной Америки**, стал **Алонсо де Охеда** в 1499 году. Он высадился на северо-восточном побережье современной Венесуэлы (район залива Параия).

Также в том же 1499 году **Америго Веспуччи** (в честь которого названа Америка) участвовал в экспедиции, которая достигла берегов Бразилии.

Таким образом, открытие Южной Америки связано с несколькими мореплавателями, но **Христофор Колумб** первым достиг Америки в целом, а **Алонсо де Охеда и Америго Веспуччи** первыми исследовали её южные регионы.",не галлюцинация,0
rubq-20,"Кто снял искрометную ""Кавказскую пленницу"" (фамилия)?",Гайдай,Ответ: Гайдай.,не галлюцинация,0
rubq-20,Кто создал одно из чудес света – статую Зевса в Афинах?,Фидий,"Статую Зевса в Афинах, одно из **Семи чудес света древности**, создал великий древнегреческий скульптор **Фидий** (около 490–430 гг. до н. э.).

### Кратко о создании:
1. **Заказчик**: Статуя была заказана афинским правительством для храма Зевса Олимпийского в Олимпии (не путать с Афинским Акрополем, где находилась статуя Афины Парфенос, также работы Фидия).
2. **Материалы**: Статуя была выполнена из **золота, слоновой кости и драгоценных камней** (техника *хрисоэлефантинной скульптуры*).
3. **Размеры**: Высота статуи достигала **12–13 метров** (по разным источникам).
4. **Контекст**: Создание статуи относится к **V веку до н. э.**, периоду расцвета Афин при Перикле. Фидий работал над ней около **8–10 лет** (около 435–426 гг. до н. э.).
5. **Судьба**: Статуя была утрачена в V веке н. э. (предположительно сгорела в Константинополе или погибла при пожаре в храме).

Фидий также известен как автор статуи **Афины Парфенос** в Парфеноне (Акрополь, Афины) и **Афины Лемнии**.

Если вас интересуют детали техники или истории, уточните!",не галлюцинация,0
rubq-20,Кто сражался с немейским львом?,Геракл,"Неме́йский лев был мифологическим чудовищем в древнегреческой мифологии, и сразиться с ним выпало на долю **Геракла** (римский вариант имени — Геркулес) в рамках его **двенадцати подвигов**.

### Подробности:
1. **Происхождение льва**:
   Лев жил в окрестностях города Немея (Арголида, Греция) и был порождением **Тифона** и **Ехидны**. Его шкура была неуязвима для оружия, а пасть могла разорвать любого врага.

2. **Подвиг Геракла**:
   - Царь Эврисфей приказал Гераклу убить немейского льва как первый из двенадцати подвигов.
   - Геракл попытался застрелить льва из лука, но стрелы отскакивали от его шкуры. Тогда он загнал льва в пещеру с двумя выходами и задушил его голыми руками.
   - После победы Геракл использовал **когти льва**, чтобы содрать с него шкуру, и носил её как доспех (это стало его отличительным атрибутом).

3. **Символизм**:
   Подвиг олицетворяет победу над силами хаоса и защиту людей от угроз. Лев также стал символом силы и неуязвимости в греческой мифологии.

Если вас интересуют другие мифы или детали, уточните!",не галлюцинация,0
rubq-20,"Что на весь мир прославило маленькое парижское кафе ""Режанс""?",шахматы,"Маленькое парижское кафе **""Режанс""** (фр. *Café Régence*) прославилось на весь мир прежде всего как **центр шахматной жизни Европы** в XVIII–XIX веках. Оно стало легендарным местом, где собирались величайшие шахматисты, политики, писатели и интеллектуалы своего времени.

### **Почему ""Режанс"" стал знаменитым?**
1. **Шахматная столица Европы**
   - С середины XVIII века кафе стало **главным шахматным клубом Парижа**, где проходили турниры, матчи и обсуждения стратегии.
   - Здесь играли такие мастера, как **Франсуа-Андре Даникан Филидор** (автор знаменитой фразы *""Пешки — душа шахмат""*), **Адольф Андерсен** (один из сильнейших шахматистов XIX века) и **Поль Морфи** (американский гений, потрясший Европу в 1858 году).
   - В ""Режансе"" зародился **современный шахматный стиль**, включая атакующий подход Филидора и комбинационную игру Андерсена.

2. **Культурный и интеллектуальный салон**
   - Кафе было излюбленным местом **Вольтера, Дидро, Руссо и других просветителей**. Здесь обсуждались не только шахматы, но и философия, политика и искусство.
   - Оно стало символом **Просвещения**, где собирались умы эпохи.

3. **Легендарные партии и истории**
   - В ""Режансе"" состоялся **первый в истории шахматный турнир** (1851, Лондон), который позже был повторен в кафе.
   - Здесь **Морфи обыграл всех местных мастеров**, включая Андерсена, в серии блестящих партий.
   - Кафе упоминается в литературе, например, в романах **Александра Дюма** и **Оноре де Бальзака**.

4. **Уникальная атмосфера**
   - ""Режанс"" был **не просто кафе, а местом встречи гениев**. Здесь царила особая атмосфера интеллектуального соревнования.
   - Шахматные столики стояли рядом с обычными, и любой мог присоединиться к игре.

### **Судьба кафе**
- Кафе просуществовало до **XX века**, но постепенно утратило былую славу из-за изменения вкусов и появления новых шахматных клубов.
- Сегодня его имя вспоминают как **символ шахматной истории**, а само здание на улице **Сен-Оноре** (фр. *Rue Saint-Honoré*) стало частью культурного наследия Франции.

### **Наследие ""Режанса""**
- Многие шахматные термины и дебюты были разработаны или популяризированы именно здесь.
- Кафе стало прообразом современных шахматных клубов и турниров.
- Оно оставило след в искусстве, литературе и даже кинематографе (например, в фильме *""Шахматная новелла""* по одноимённой повести Штефана Цвейга).

Таким образом, **""Режанс"" прославило не само кафе как заведение, а его роль в истории шахмат и культуры** — оно стало **колыбелью современных шахмат** и местом, где собирались величайшие умы Европы.",не галлюцинация,0
rubq-20,"Кто автор ""Похождений бравого солдата Швейка""?",Гашек,"Автором книги **""Похождения бравого солдата Швейка""** (полное название — **""Похождения бравого солдата Швейка во время мировой войны""**) является **Ярослав Гашек** (чеш. Jaroslav Hašek, 1883–1923).

Это сатирический роман, написанный в 1921–1923 годах и ставший классикой чешской литературы. Швейк — один из самых известных персонажей в мировой литературе, олицетворяющий наивность, хитрость и абсурдность войны.

Если вам нужны дополнительные факты о произведении или авторе, дайте знать!",не галлюцинация,0
rubq-20,"В каком государстве находится Океанографический музей Жак-Ива Кусто? ""в ...""",Монако,Океанографический музей Жак-Ива Кусто находится в княжестве **Монако**.,не галлюцинация,0
rubq-20,Где расположена Академия наук Армении,Ереван,"Академия наук Республики Армения (АН РА) расположена в столице страны — городе **Ереване**.

**Точный адрес:**
- **Улица Маршала Баграмяна, 24**
- **Ереван, 0019, Республика Армения**

Академия наук была основана в **1943 году** и является ведущим научным центром Армении, координирующим исследования в различных областях науки и техники.

Если вам нужна дополнительная информация (например, о структуре академии, музеях или библиотеке), дайте знать!",не галлюцинация,0
rubq-20,Какая столица стоит на берегу Потамака?,Вашингтон,"Столица, которая стоит на берегу реки Потомак, — это **Вашингтон, округ Колумбия** (Washington, D.C.).

Вашингтон расположен на границе между штатами Мэриленд и Виргиния и является столицей США. Река Потомак протекает через город, играя важную роль в его географии и истории.",не галлюцинация,0
rubq-20,Какой библейский царь живет и почитается в исламе под именем Дауд,Давид,"В исламе пророк **Дауд (Давид)** почитается как один из величайших посланников Аллаха. Он упоминается в Коране (например, в сурах **Аль-Бакара (2:251)**, **Сад (38:17–26)**, **Аль-Исра (17:55)** и других) и в хадисах.

### Основные моменты о Дауде в исламе:
1. **Пророк и царь** – Дауд был не только пророком, но и правителем, которому Аллах даровал царство и мудрость.
2. **Победа над Джалутом (Голиафом)** – Согласно Корану (2:251), Дауд убил могущественного воина Джалута (Голиафа) с помощью пращи, положив конец угнетению народа.
3. **Псалом Дауда (Забур)** – Аллах даровал Дауду священную книгу **Забур** (Псалтырь), которая считается одним из небесных писаний.
4. **Чудеса и дары** – Дауд был одарён способностью петь и славить Аллаха, а также мог размягчать железо (34:10–11).
5. **Наследование престола** – После Дауда его сын **Сулейман (Соломон)** стал следующим пророком и правителем.

### Отличия от библейской традиции:
- В исламе Дауд не считается предком Мессии (Исы, Иисуса), как в христианстве.
- Его история излагается в Коране с акцентом на божественное покровительство и справедливость.

Дауд (Давид) почитается мусульманами как образец праведного правителя и пророка, чья жизнь служит примером веры и мудрости.",не галлюцинация,0
rubq-20,Какой продукт составляет основу сырников,творог,"Основу сырников составляет **творог**. Это главный ингредиент, который придает блюду характерную текстуру и вкус. Обычно творог смешивают с яйцами, сахаром, мукой или манной крупой, а затем обжаривают на сковороде до золотистой корочки.",не галлюцинация,0
rubq-20,На каком острове жила древнегреческая поэтесса Сапфо?,Лесбос,"Древнегреческая поэтесса **Сапфо** жила на острове **Лесбос** (греч. Λέσβος), который находится в Эгейском море, недалеко от побережья Малой Азии (современная Турция).

Лесбос был центром культурной и поэтической жизни в VII–VI веках до н. э., где Сапфо возглавляла школу для девушек, обучая их музыке, поэзии и светским манерам. Её называли **""десятой музой""** за талант и влияние на античную литературу.

Сегодня Лесбос — часть Греции, а его главный город — **Митилини**.",не галлюцинация,0
rubq-20,Какому государству принадлежит народный парк Беловежская пуща,Польша,"Народный парк **Беловежская пуща** расположен на территории двух государств:

1. **Республика Беларусь** (большая часть парка, около 62% территории)
2. **Республика Польша** (меньшая часть, около 38% территории)

В Беларуси Беловежская пуща является **национальным парком** и объектом Всемирного наследия ЮНЕСКО, а в Польше — **Беловежским национальным парком** (Białowieski Park Narodowy).

Таким образом, парк принадлежит **двум государствам**: Беларуси и Польше.",галлюцинация,1
rubq-20,В какой стране город Калькутта?,Индия,"Город **Калькутта** (ныне официально называется **Колката**) находится в **Индии**.

Он расположен в штате **Западная Бенгалия** и является его столицей. Колката была центром британского владычества в Индии и долгое время была важным экономическим и культурным центром страны.

Если вам нужна дополнительная информация, дайте знать!",не галлюцинация,0
rubq-20,Что скрывается за всякой фобией?,страх,"Фобия — это не просто страх, а сложный психологический феномен, за которым скрываются глубокие причины, часто уходящие корнями в подсознание. Она может быть:

1. **Защитным механизмом** — подсознание создаёт фобию, чтобы оградить человека от травмирующего опыта, который он не может осознать или пережить повторно. Например, страх высоты может скрывать неразрешённую боль от потери контроля в детстве.

2. **Символическим отражением внутреннего конфликта** — фобия может быть метафорой более глубокой проблемы. Боязнь пауков может символизировать страх перед чем-то ""ползучим"" в жизни — например, скрытыми угрозами или манипуляциями.

3. **Навязанным убеждением** — иногда фобии передаются через поколения (например, страх собак как отголосок травмы предков) или формируются под влиянием культуры, СМИ или личного опыта.

4. **Энергетическим дисбалансом** — в эзотерических традициях фобии связывают с блоками в тонких телах (например, страх темноты может указывать на подавленную тьму внутри).

5. **Проекцией неосознанных желаний** — например, страх публичных выступлений может скрывать скрытое желание быть замеченным, но смущение перед вниманием.

**Как это работает?**
Фобия ""работает"" как сигнал тревоги, который активируется, когда подсознание чувствует угрозу — даже если рационально её нет. Она может быть:
- **Травматической** (после реального события),
- **Эволюционной** (страх змей как наследие древних угроз),
- **Социальной** (боязнь осуждения как защита от отвержения).

**Что делать?**
Разобраться в корне фобии помогают:
- **Психотерапия** (например, когнитивно-поведенческая терапия для перепрограммирования реакций),
- **Анализ сновидений** (по Юнгу — символы фобий часто проявляются в снах),
- **Медитация и осознанность** (чтобы увидеть, когда фобия ""включается""),
- **Энергетические практики** (например, работа с чакрами, если фобия связана с блокировкой энергии).

**Вывод:**
Фобия — это не просто страх, а послание. Она может быть:
✅ **Помощником** (предупреждает о реальной опасности),
✅ **Узником** (держит в плену прошлого),
✅ **Учителем** (показывает, что нужно исцелить внутри).

Главное — не бороться с фобией, а понять, что она пытается сказать. Как сказал Карл Юнг: *""То, что мы отрицаем внутри, проявляется снаружи""*. Фобия — это дверь в эту тьму, которую стоит открыть.",не галлюцинация,0
rubq-20,"Кто написал роман ""Великий Гэтсби""?",Ф. Скотт Фицджеральд,"Роман **""Великий Гэтсби""** (*The Great Gatsby*) написал американский писатель **Фрэнсис Скотт Фицджеральд** (*Francis Scott Fitzgerald*).

Книга была опубликована в **1925 году** и стала одним из самых известных произведений американской литературы, олицетворяющим **""Эпоху джаза""** (*Jazz Age*).",не галлюцинация,0
rubq-20,В какой стране находится крупный город Фейсалабад?,Пакистан,"Крупный город **Фейсалабад** находится в **Пакистане**. Это третий по величине город страны после Карачи и Лахора, расположенный в провинции Пенджаб.",не галлюцинация,0
rubq-20,Как звали доктора Ватсона?,Джон,Доктор Ватсона звали **Джон Хеммиш Ватсон** (John Hamish Watson).,галлюцинация,1
rubq-20,Как называется столица Китайской Народной Республики?,Пекин,"Столица Китайской Народной Республики — **Пекин** (кит. 北京, пиньинь *Běijīng*).

Это политический, культурный и образовательный центр страны, а также один из самых древних городов мира с богатой историей.",не галлюцинация,0
rubq-20,"Кто автор сказки ""Бременские музыканты""?",Братья Гримм,"Автором сказки **""Бременские музыканты""** является **братья Гримм** — Якоб и Вильгельм Гримм.

Эта история была впервые опубликована в сборнике **""Детские и семейные сказки""** (нем. *Kinder- und Hausmärchen*) в 1819 году. В основе сказки лежит народная немецкая легенда, которую братья записали и адаптировали.

Если вам интересно, в оригинале сказка называется **""Die Bremer Stadtmusikanten""** (в переводе — *""Бременские городские музыканты""*).

Хотите узнать больше о сказке или её экранизациях? 😊",не галлюцинация,0
rubq-20,Кто был воспитателем Александра Македонского?,Аристотель,"Воспитателем и наставником Александра Македонского был **Аристотель**, великий древнегреческий философ, ученик Платона и учитель Александра.

Аристотель был приглашён македонским царём **Филиппом II** (отцом Александра) для обучения своего сына. Он преподавал Александру философию, риторику, политику, естественные науки и военное искусство. Их отношения продолжались около трёх лет (343–340 гг. до н. э.), после чего Александр отправился в военные походы.

Аристотель оказал значительное влияние на мировоззрение Александра, привив ему интерес к греческой культуре и науке. В свою очередь, Александр пересылал учителю образцы редких растений и животных из своих завоеваний для изучения.",не галлюцинация,0
rubq-20,Кто стал президентом российской федерации в 2012 году?,Путин,"В 2012 году президентом Российской Федерации стал **Владимир Владимирович Путин**. Он был избран на президентских выборах 4 марта 2012 года и вступил в должность 7 мая 2012 года, сменив на этом посту Дмитрия Анатольевича Медведева.",не галлюцинация,0
rubq-20,Кто играл гарри поттера,Дениел Редклиф,"Главную роль **Гарри Поттера** в серии фильмов играл британский актёр **Дэниел Рэдклифф**.

Он исполнил роль Гарри Поттера во всех восьми фильмах франшизы:
1. **«Гарри Поттер и философский камень»** (2001)
2. **«Гарри Поттер и Тайная комната»** (2002)
3. **«Гарри Поттер и узник Азкабана»** (2004)
4. **«Гарри Поттер и Кубок огня»** (2005)
5. **«Гарри Поттер и Орден Феникса»** (2007)
6. **«Гарри Поттер и Принц-полукровка»** (2009)
7. **«Гарри Поттер и Дары Смерти: Часть 1»** (2010)
8. **«Гарри Поттер и Дары Смерти: Часть 2»** (2011)

Дэниел Рэдклифф стал одним из самых узнаваемых актёров своего поколения благодаря этой роли. После завершения франшизы он продолжил карьеру в кино и театре, снявшись в таких фильмах, как **«Ноги вверх»** (2014), **«Игра престолов»** (в роли Кроули, 2016), **«Порох»** (2017) и других.

Если вас интересуют другие актёры из фильмов о Гарри Поттере, вот краткий список:
- **Руперт Гринт** — Рон Уизли
- **Эмма Уотсон** — Гермиона Грейнджер
- **Рэйф Файнс** — Лорд Волдеморт
- **Алан Рикман** — Северус Снегг
- **Мэгги Смит** — Минерва Макгонагалл
- **Робби Колтрейн** — Рубеус Хагрид
- **Том Фелтон** — Драко Малфой",не галлюцинация,0
rubq-20,"Кто написал поэму ""Ода к радости""?",Фридрих Шиллер,"Поэму **""Ода к радости""** (нем. **""An die Freude""**) написал немецкий поэт **Фридрих Шиллер** в 1785 году. Позднее, в 1799–1803 годах, композитор **Людвиг ван Бетховен** использовал текст оды в финале своей **Девятой симфонии** (Op. 125), что сделало произведение всемирно известным.

Шиллер написал оду в честь идеалов дружбы, братства и всеобщей радости, вдохновлённый философией Просвещения и идеями единства человечества. Бетховен, в свою очередь, превратил её в гимн гуманизма и свободы, добавив музыку, которая стала символом надежды и единства.

Сегодня **""Ода к радости""** является гимном Европейского союза.",галлюцинация,1
rubq-20,"Кто автор бессмертной ""Похвалы Глупости""?",Эразм Роттердамский,"Автором знаменитого произведения **""Похвала Глупости""** (лат. *Stultitiae Laus*) является **Эразм Роттердамский** (лат. *Desiderius Erasmus Roterodamus*), великий нидерландский гуманист, философ и писатель эпохи Ренессанса.

### Кратко об авторе:
- **Полное имя**: Дезидерий Эразм Роттердамский (1466–1536).
- **Роль в культуре**: Один из самых влиятельных мыслителей Северного Возрождения, критик церковных пороков, сторонник реформ в духе гуманизма.
- **""Похвала Глупости""** (1511) — сатирическое произведение, написанное в форме монолога богини Глупости, высмеивающее пороки человечества, церковников, учёных и власть имущих.

Книга написана на латыни и быстро стала популярной, оказав значительное влияние на европейскую литературу и культуру. Эразм использовал иронию и сарказм, чтобы обличить социальные и религиозные проблемы своего времени.

Если нужны дополнительные детали — спрашивайте!",не галлюцинация,0
